dataset,method,round,ratio,k,d,train_loss,test_accuracy,test_loss,retained_energy,b_power,b_privacy,b_star,regime,papr_mean_db,papr_p99_db,papr_max_db,clip_sample_ratio,normalized_clip_energy,u_active_mean,active_resource_ratio
femnist,topk,1,0.2,80844,404222,3.8671947312355046,6.490384615384615,3.8373900193434496,0.9393216203870137,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.553027153015137,11.103270530700684,11.265972137451172,0.0019802956376224756,0.00012730419346188902,6.902251243591309,0.5769802955665024
femnist,topk,2,0.2,80844,404222,3.6957390046119682,16.58653846153846,3.7770086435171275,0.9091954649125903,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.626677513122559,11.425743103027344,11.742310523986816,0.0019642857369035482,0.0001337096122554509,6.211578369140625,0.6411354679802955
femnist,topk,3,0.2,80844,404222,3.6710644721984864,15.14423076923077,3.677996121920072,0.8965986262423954,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.59543514251709,11.008576393127441,11.344467163085938,0.0019593595061451197,0.00012531143924053497,5.996662139892578,0.6641133004926109
femnist,topk,4,0.2,80844,404222,3.5674620103836063,20.91346153846154,3.63461186335637,0.8848032720004271,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.553275108337402,11.04869556427002,11.428194046020508,0.001881157630123198,0.00012179212493254898,5.87770414352417,0.6775541871921182
femnist,topk,5,0.2,80844,404222,3.5119356215000153,22.83653846153846,3.5417251586914062,0.8700269703022311,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.501136779785156,11.23940372467041,11.462394714355469,0.0018706896807998419,0.00011332890531925188,5.709342002868652,0.6975344827586207
femnist,topk,6,0.2,80844,404222,3.4517531788349145,25.721153846153847,3.440342829777644,0.8682667429460336,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.539501190185547,11.201726913452148,11.348567962646484,0.001881157630123198,0.00011758343821933723,5.666721343994141,0.7027807881773399
femnist,topk,7,0.2,80844,404222,3.3390058565139773,24.278846153846153,3.3911716754619894,0.8512095334133685,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.54961109161377,11.315095901489258,11.540067672729492,0.0018214285373687744,0.00012297030034820713,5.5523200035095215,0.7172610837438423
femnist,topk,8,0.2,80844,404222,3.307860605716705,26.923076923076923,3.284393310546875,0.8488500465420759,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.554306983947754,11.122491836547852,11.374482154846191,0.0018651477294042706,0.00011653912080283338,5.476827621459961,0.7271477832512315
femnist,topk,9,0.2,80844,404222,3.2340721082687383,33.65384615384615,3.1445658757136417,0.8468482376887264,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.596582412719727,11.060895919799805,11.249953269958496,0.0019211822655051947,0.00013274270624167946,5.389492034912109,0.7389310344827587
femnist,topk,10,0.2,80844,404222,3.1759322059154504,33.65384615384615,3.0937588031475363,0.8363188869856086,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.598057746887207,11.19685173034668,11.561971664428711,0.0017998768016695976,0.0001291940924018485,5.296401023864746,0.7519187192118226
femnist,topk,11,0.2,80844,404222,3.113152365684509,32.21153846153846,3.0174801166240988,0.8327039573689682,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.526423454284668,11.155694961547852,11.590425491333008,0.001907019759528339,0.00011678229112012919,5.247616767883301,0.7589088669950739
