dataset,method,round,ratio,k,d,train_loss,test_accuracy,test_loss,retained_energy,b_power,b_privacy,b_star,regime,papr_mean_db,papr_p99_db,papr_max_db,clip_sample_ratio,normalized_clip_energy,u_active_mean,active_resource_ratio
femnist,topk,19,0.1,40422,404222,2.569630274772644,45.19230769230769,2.3361581655649037,0.5311904161717993,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.529229164123535,11.05088996887207,11.35849380493164,0.0019082512008026242,0.00011350983057818697,2.9908769130706787,0.665768472906404
femnist,topk,20,0.1,40422,404222,2.5685738837718963,44.95192307692308,2.272145491379958,0.5396465463832572,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.571260452270508,11.085119247436523,11.173696517944336,0.001949507393874228,0.0001250197848938836,3.0258140563964844,0.6580812807881773
femnist,topk,21,0.1,40422,404222,2.4371683794260024,44.23076923076923,2.212070024930514,0.5312742172613052,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.63929557800293,11.349043846130371,11.826301574707031,0.001985837472602725,0.00014008575578761494,2.989516496658325,0.6660714285714285
femnist,topk,22,0.1,40422,404222,2.3232832658290867,48.55769230769231,2.133883843055138,0.5265303818188958,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.567816734313965,11.373798370361328,11.582942962646484,0.001929802936501801,0.00011919292732352092,2.985409736633301,0.666987684729064
femnist,topk,23,0.1,40422,404222,2.2554945641756055,49.27884615384615,2.078931074876052,0.5277466812534152,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.505213737487793,11.205437660217285,11.597372055053711,0.0018922414164990187,0.0001121670223888687,2.990025043487549,0.6659581280788177
femnist,topk,24,0.1,40422,404222,2.2275646650791168,52.64423076923077,1.9776433797983022,0.5237248753523168,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.597513198852539,11.698166847229004,12.14865779876709,0.0019716748502105474,0.0001341225006651613,2.9500157833099365,0.6749901477832513
femnist,topk,25,0.1,40422,404222,2.1693670350313186,55.04807692307692,1.9541040567251353,0.5169650312002334,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.558221817016602,10.990135192871094,11.307580947875977,0.0019273399375379086,0.0001228462844229428,2.9334561824798584,0.6788004926108374
femnist,topk,26,0.1,40422,404222,2.039542939066887,55.28846153846154,1.9351392892690806,0.5159770284491005,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.526084899902344,10.787351608276367,11.37660026550293,0.0019254926592111588,0.0001189343511856334,2.9156088829040527,0.6829556650246306
femnist,topk,27,0.1,40422,404222,2.01806148737669,55.76923076923077,1.8467916341928334,0.5212154403612692,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.620322227478027,11.23945140838623,12.013749122619629,0.0019224138231948018,0.00013673061203312942,2.911440372467041,0.6839334975369458
femnist,topk,28,0.1,40422,404222,1.8173751477897166,60.33653846153846,1.7347508943997896,0.49337851018487333,0.994766374842626,1.7580530004544876,0.994766374842626,power,9.585134506225586,11.102242469787598,11.586614608764648,0.0019507389515638351,0.0001291721122423182,2.8444862365722656,0.7000320197044335
