dataset,method,round,ratio,k,d,train_loss,test_accuracy,test_loss,retained_energy,b_power,b_privacy,b_star,regime,papr_mean_db,papr_p99_db,papr_max_db,clip_sample_ratio,normalized_clip_energy,u_active_mean,active_resource_ratio
femnist,topk,1,0.2,80844,404222,3.904452199935913,11.27450980392157,3.8170584884344363,0.9318054587373036,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.611406326293945,11.10444164276123,11.618374824523926,0.0018990148091688752,0.0001280632911739793,6.865469932556152,0.5800714285714286
femnist,topk,2,0.2,80844,404222,3.8592052865028377,12.009803921568627,3.7834580365349266,0.9101402150870932,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.525164604187012,11.011919021606445,11.210283279418945,0.00195566494949162,0.00011873488752768555,6.279511451721191,0.6341995073891625
femnist,topk,3,0.2,80844,404222,3.7028762674331674,14.705882352941176,3.65673828125,0.8980517735007852,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.613569259643555,11.126180648803711,11.200925827026367,0.0019347290508449078,0.00013136851654056974,5.942773342132568,0.6701354679802956
femnist,topk,4,0.2,80844,404222,3.6198871564865107,22.30392156862745,3.591810338637408,0.8844791432057463,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.591337203979492,11.04289722442627,11.229153633117676,0.0020080048125237226,0.00013116513187946585,5.932807922363281,0.6712610837438424
femnist,topk,5,0.2,80844,404222,3.5771207058429724,23.529411764705884,3.5205646589690565,0.8731356795248114,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.536691665649414,10.988353729248047,11.210058212280273,0.001876847236417234,0.00011766726914834098,5.802027225494385,0.6863916256157635
femnist,topk,6,0.2,80844,404222,3.515705842971802,25.980392156862745,3.452172971239277,0.8693904100602394,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.529118537902832,11.22284984588623,11.596868515014648,0.0019051723647862673,0.00011617120940979789,5.7999043464660645,0.6866428571428571
femnist,topk,7,0.2,80844,404222,3.4255914664268494,26.715686274509803,3.3819221047794117,0.8576345667525009,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.602497100830078,11.284008979797363,11.701578140258789,0.0019513546722009778,0.00013469280392965072,5.7530999183654785,0.6922290640394089
femnist,topk,8,0.2,80844,404222,3.3965338265895846,32.59803921568628,3.303085027956495,0.8534523492768565,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.638744354248047,11.270289421081543,11.792680740356445,0.0019347290508449078,0.00013281397130257991,5.669841289520264,0.7023940886699508
femnist,topk,9,0.2,80844,404222,3.377885837554931,34.55882352941177,3.2450304218367036,0.8490235027312704,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.614620208740234,11.470227241516113,11.82158374786377,0.0019181034294888377,0.0001280381297039641,5.594353199005127,0.711871921182266
femnist,topk,10,0.2,80844,404222,3.1932505595684058,38.72549019607843,3.0951780431410847,0.8365006366992894,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.545212745666504,11.383131980895996,11.789532661437988,0.0018503695027902722,0.0001228640334198547,5.498843669891357,0.7242364532019705
femnist,topk,11,0.2,80844,404222,3.2543970012664802,39.950980392156865,3.0718009799134496,0.8419396227029049,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.637815475463867,11.29535961151123,12.285335540771484,0.0019956897012889385,0.00013535705968640205,5.460089683532715,0.7293768472906403
femnist,topk,12,0.2,80844,404222,3.13496842622757,38.23529411764706,2.997180415134804,0.8376607505666869,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.638818740844727,11.234198570251465,11.741280555725098,0.001932881772518158,0.0001353516657525964,5.395174980163574,0.7381527093596059
femnist,topk,13,0.2,80844,404222,3.017004773616791,42.8921568627451,2.8450580671721815,0.8215699574395684,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.50094985961914,10.883345603942871,10.933064460754395,0.001844827551394701,0.00011912080465145583,5.290820598602295,0.7527118226600985
femnist,topk,14,0.2,80844,404222,2.966974040269852,43.38235294117647,2.7470529593673407,0.8243910076489549,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.61129379272461,10.98897647857666,11.37525749206543,0.0018916255794465542,0.0001287144433877346,5.236281871795654,0.760551724137931
femnist,topk,15,0.2,80844,404222,2.8084289664030075,41.911764705882355,2.6803594851026347,0.8182274084676718,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.511792182922363,11.281767845153809,11.522197723388672,0.0019057882018387318,0.0001185136847032837,5.204141616821289,0.7652487684729063
femnist,topk,16,0.2,80844,404222,2.7377032077312466,40.44117647058823,2.6338303509880516,0.8121482616215563,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.620800971984863,11.330265998840332,11.573749542236328,0.0019605911802500486,0.0001351044538973291,5.195446014404297,0.7665295566502464
femnist,topk,17,0.2,80844,404222,2.789196972250938,46.568627450980394,2.5843858905867036,0.8217166937150205,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.557295799255371,10.950868606567383,11.047030448913574,0.001900862087495625,0.00012212950363423892,5.1796183586120605,0.768871921182266
femnist,topk,18,0.2,80844,404222,2.6643414717912672,47.05882352941177,2.4942694271312043,0.8139781627216081,0.7034060493475798,1.2431311983067246,0.7034060493475798,power,9.645486831665039,11.39732551574707,11.59292984008789,0.0019193349871784449,0.00013670875469657615,5.1168060302734375,0.7783103448275862
