dataset,method,round,ratio,k,d,train_loss,lr,test_accuracy,test_loss,retained_energy,b_power,b_privacy,b_star,regime,papr_mean_db,papr_p99_db,papr_max_db,clip_sample_ratio,normalized_clip_energy,effective_noise_std,u_active_mean,active_resource_ratio
femnist,topk,1,0.12,48506,404222,4.085555481910706,0.05,7.211538461538462,3.944927215576172,0.8597618771972607,0.2871655011819205,1.6680276752757455,0.2871655011819205,power,9.704360008239746,11.92931079864502,14.107588768005371,0.2364698201417923,0.046384668540387655,0.005223468675122931,5.458914279937744,0.4377167487684729
femnist,topk,2,0.12,48506,404222,3.8776268649101255,0.049600000000000005,7.211538461538462,3.944927215576172,0.825231647914354,0.2871655011819205,1.6680276752757455,0.2871655011819205,power,9.61396598815918,11.180051803588867,11.567014694213867,0.23671920597553253,0.046064470508562425,0.005223468675122931,4.477242946624756,0.5336896551724138
femnist,topk,3,0.12,48506,404222,3.6687469053268438,0.0492032,7.211538461538462,3.944927215576172,0.8111795022429072,0.2871655011819205,1.6680276752757455,0.2871655011819205,power,9.595992088317871,11.053227424621582,11.124476432800293,0.23696428537368774,0.04617667956272763,0.005223468675122931,4.34967041015625,0.5493423645320197
femnist,topk,4,0.12,48506,404222,3.6631194782257075,0.0488095744,7.211538461538462,3.944927215576172,0.8120816643305415,0.2871655011819205,1.6680276752757455,0.2871655011819205,power,9.537281036376953,11.034733772277832,11.719006538391113,0.2366730272769928,0.04611774352670057,0.005223468675122931,4.685732364654541,0.5099433497536946
femnist,topk,5,0.12,48506,404222,3.55000947713852,0.0484190978048,28.846153846153847,3.554545182448167,0.8000797038519185,0.2871655011819205,1.6680276752757455,0.2871655011819205,power,9.50831127166748,11.04932975769043,11.616826057434082,0.23699015378952026,0.04611500463246176,0.005223468675122931,4.5713372230529785,0.5227044334975369
femnist,topk,6,0.12,48506,404222,3.437869503498077,0.0480317450223616,28.846153846153847,3.554545182448167,0.791313347104493,0.2871655011819205,1.6680276752757455,0.2871655011819205,power,9.551700592041016,11.1656494140625,11.348148345947266,0.23683497309684753,0.0461118104181133,0.005223468675122931,4.426578044891357,0.5397980295566502
femnist,topk,7,0.12,48506,404222,3.2962208151817323,0.04764749106218271,28.846153846153847,3.554545182448167,0.7846558486143389,0.2871655011819205,1.6680276752757455,0.2871655011819205,power,9.575142860412598,11.474922180175781,11.635610580444336,0.2370942085981369,0.04610469338015055,0.005223468675122931,4.324097633361816,0.5525911330049261
femnist,topk,8,0.12,48506,404222,3.2867319536209103,0.04726631113368524,28.846153846153847,3.554545182448167,0.7882986316751636,0.2871655011819205,1.6680276752757455,0.2871655011819205,power,9.557337760925293,11.010875701904297,11.602426528930664,0.23709729313850403,0.04600350369070587,0.005223468675122931,4.295360088348389,0.5562881773399014
femnist,topk,9,0.12,48506,404222,3.1623426342010506,0.046888180644615765,28.846153846153847,3.554545182448167,0.7762212076009317,0.2871655011819205,1.6680276752757455,0.2871655011819205,power,9.59183406829834,11.067514419555664,11.466026306152344,0.2366342395544052,0.046124419114391274,0.005223468675122931,4.140874862670898,0.5770418719211823
femnist,topk,10,0.12,48506,404222,2.9214733964204784,0.04651307519945884,36.29807692307692,2.729322286752554,0.7799043215845729,0.2871655011819205,1.6680276752757455,0.2871655011819205,power,9.581740379333496,11.116551399230957,11.1716947555542,0.23694580793380737,0.045965329486201884,0.005223468675122931,3.939093828201294,0.6066009852216748
femnist,topk,11,0.12,48506,404222,2.8678824025392533,0.046140970597863165,36.29807692307692,2.729322286752554,0.780258017333656,0.2871655011819205,1.6680276752757455,0.2871655011819205,power,9.496038436889648,11.182534217834473,11.477557182312012,0.23730111122131348,0.045919971455070055,0.005223468675122931,3.987586498260498,0.5992241379310345
