dataset,method,round,ratio,k,d,train_loss,lr,test_accuracy,test_loss,retained_energy,b_power,b_privacy,b_star,regime,papr_mean_db,papr_p99_db,papr_max_db,clip_sample_ratio,normalized_clip_energy,effective_noise_std,u_active_mean,active_resource_ratio
femnist,randk,1,0.5,202111,404222,4.085555481910706,0.05,11.057692307692308,3.932514484112079,0.49455409267293515,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.559168815612793,11.295954704284668,11.404394149780273,0.23659852147102356,0.04620873822977064,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,2,0.5,202111,404222,3.9083669948577877,0.049600000000000005,11.057692307692308,3.932514484112079,0.497971241605887,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.620518684387207,11.299454689025879,11.732125282287598,0.23674076795578003,0.0460929488256973,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,3,0.5,202111,404222,3.789348769187927,0.0492032,11.057692307692308,3.932514484112079,0.5048573012856503,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.591926574707031,11.161112785339355,11.388916015625,0.23722536861896515,0.04614814693204683,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,4,0.5,202111,404222,3.755683970451355,0.0488095744,11.057692307692308,3.932514484112079,0.4968806360704292,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.531742095947266,10.958277702331543,11.678465843200684,0.23663730919361115,0.04613907344034511,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,5,0.5,202111,404222,3.705945608615875,0.0484190978048,20.673076923076923,3.6985995952899637,0.5001763344987629,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.503215789794922,11.304400444030762,11.487480163574219,0.23692117631435394,0.046097265124651544,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,6,0.5,202111,404222,3.6620005178451533,0.0480317450223616,20.673076923076923,3.6985995952899637,0.4990072291960207,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.545791625976562,11.076018333435059,11.306299209594727,0.236983984708786,0.046088355300525456,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,7,0.5,202111,404222,3.587600182294846,0.04764749106218271,20.673076923076923,3.6985995952899637,0.5011565403292504,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.563865661621094,11.42824649810791,11.569682121276855,0.2371397763490677,0.0460971273553466,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,8,0.5,202111,404222,3.622968986034393,0.04726631113368524,20.673076923076923,3.6985995952899637,0.49720460769871827,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.54279899597168,11.168802261352539,11.44598388671875,0.2373620718717575,0.04595996885918135,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,9,0.5,202111,404222,3.5175772035121917,0.046888180644615765,20.673076923076923,3.6985995952899637,0.502459030246114,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.601327896118164,11.241512298583984,11.409939765930176,0.23695874214172363,0.046186239213662085,0.010662431125213383,20.0,0.4978103448275862
femnist,randk,10,0.5,202111,404222,3.4533872795104985,0.04651307519945884,34.375,3.276805877685547,0.5018807872641162,0.14068086183951295,0.8171579453804004,0.14068086183951295,power,9.598166465759277,11.21815013885498,11.565556526184082,0.23720689117908478,0.0460347151063524,0.010662431125213383,20.0,0.4978103448275862
