method,ratio,b_star,regime,papr_median_db,papr_p90_db,papr_p99_db,clip_sample_ratio_at_main_gamma,clip_energy_at_main_gamma,adc_nmse_at_main_gamma,active_coordinate_ratio,active_overlap_mean,active_overlap_max,effective_tx_ratio,num_clients
topk,0.15,0.4061116719404364,power,9.522665977478027,10.384625911712646,11.276058082580567,0.2369614250957966,0.046125801301771074,0.036728479204193594,0.7625507736206054,3.9538316428661346,19.985,0.1499992572057968,20
randk,0.65,0.19508936554479575,power,9.519624710083008,10.376586627960204,11.234674854278564,0.23696453839540482,0.04611918210369666,0.03683018030581708,0.6499992609024048,20.0,20.0,0.6499992609024048,20
full,1.0,0.15728598510320355,power,9.520565509796143,10.37944860458374,11.242084970474247,0.23695601284503937,0.0461193241500826,0.03682810085978232,1.0,20.0,20.0,1.0,20
