final_accuracy,tail_mean_accuracy,best_accuracy,best_round,b_star,regime,papr_p99_last,clip_energy_last,clip_sample_ratio_last,effective_noise_std,label,method,ratio,gamma,run_dir
79.5673076923077,79.08653846153845,79.5673076923077,80,0.4061116719404364,power,11.133261680603027,0.1614444332659381,0.5274568796157837,0.003693565350714218,topk_adc_aware,topk,0.15,0.8,logs/experiments/exp5-adc-aware/adcaware_seed2026_r80_20260710_143232/runs/gamma0p8_topk_adc_aware
77.64423076923077,77.48397435897436,77.64423076923077,80,0.26586249675316054,power,11.175337791442871,0.1614450999932946,0.5275744795799255,0.005642014267970971,topk_adc_unaware,topk,0.35,0.8,logs/experiments/exp5-adc-aware/adcaware_seed2026_r80_20260710_143232/runs/gamma0p8_topk_adc_unaware
76.20192307692308,75.72115384615385,76.20192307692308,80,0.19508936554479575,power,11.155284881591797,0.16143970342556027,0.5276299118995667,0.007688784039103304,randk,randk,0.65,0.8,logs/experiments/exp5-adc-aware/adcaware_seed2026_r80_20260710_143232/runs/gamma0p8_randk
76.6826923076923,76.20192307692308,76.6826923076923,80,0.15728598510320355,power,11.075029373168945,0.16144605287211797,0.5275738835334778,0.009536768320555037,full,full,1.0,0.8,logs/experiments/exp5-adc-aware/adcaware_seed2026_r80_20260710_143232/runs/gamma0p8_full
81.00961538461539,80.84935897435898,81.00961538461539,80,0.4061116719404364,power,11.119782447814941,0.08892728563601288,0.3679291903972626,0.003693565350714218,topk_adc_aware,topk,0.15,1.0,logs/experiments/exp5-adc-aware/adcaware_seed2026_r80_20260710_143232/runs/gamma1p0_topk_adc_aware
77.64423076923077,77.96474358974359,78.36538461538461,60,0.26586249675316054,power,11.096161842346191,0.08892942733826155,0.3679458200931549,0.005642014267970971,topk_adc_unaware,topk,0.35,1.0,logs/experiments/exp5-adc-aware/adcaware_seed2026_r80_20260710_143232/runs/gamma1p0_topk_adc_unaware
76.20192307692308,76.36217948717949,76.4423076923077,70,0.19508936554479575,power,11.128990173339844,0.08891163019457834,0.3680154085159302,0.007688784039103304,randk,randk,0.65,1.0,logs/experiments/exp5-adc-aware/adcaware_seed2026_r80_20260710_143232/runs/gamma1p0_randk
75.96153846153847,76.76282051282051,77.16346153846153,70,0.15728598510320355,power,11.077528953552246,0.0889249977195298,0.3678029477596283,0.009536768320555037,full,full,1.0,1.0,logs/experiments/exp5-adc-aware/adcaware_seed2026_r80_20260710_143232/runs/gamma1p0_full
80.04807692307692,79.7275641025641,80.04807692307692,80,0.4061116719404364,power,11.106196403503418,0.045998895644714544,0.23708312213420868,0.003693565350714218,topk_adc_aware,topk,0.15,1.2,logs/experiments/exp5-adc-aware/adcaware_seed2026_r80_20260710_143232/runs/gamma1p2_topk_adc_aware
77.64423076923077,77.96474358974359,78.125,60,0.26586249675316054,power,11.0352201461792,0.04600560943149031,0.23701785504817963,0.005642014267970971,topk_adc_unaware,topk,0.35,1.2,logs/experiments/exp5-adc-aware/adcaware_seed2026_r80_20260710_143232/runs/gamma1p2_topk_adc_unaware
76.20192307692308,76.5224358974359,76.6826923076923,70,0.19508936554479575,power,11.102500915527344,0.0460305153225027,0.23697659373283386,0.007688784039103304,randk,randk,0.65,1.2,logs/experiments/exp5-adc-aware/adcaware_seed2026_r80_20260710_143232/runs/gamma1p2_randk
75.48076923076923,76.4423076923077,76.92307692307692,70,0.15728598510320355,power,11.076943397521973,0.046017859892975674,0.23702770471572876,0.009536768320555037,full,full,1.0,1.2,logs/experiments/exp5-adc-aware/adcaware_seed2026_r80_20260710_143232/runs/gamma1p2_full
81.25,80.44871794871794,81.25,80,0.4061116719404364,power,11.067380905151367,0.032323854911248,0.184538796544075,0.003693565350714218,topk_adc_aware,topk,0.15,1.3,logs/experiments/exp5-adc-aware/adcaware_seed2026_r80_20260710_143232/runs/gamma1p3_topk_adc_aware
77.40384615384616,77.72435897435898,77.88461538461539,70,0.26586249675316054,power,11.070687294006348,0.03232016127635413,0.18447783589363098,0.005642014267970971,topk_adc_unaware,topk,0.35,1.3,logs/experiments/exp5-adc-aware/adcaware_seed2026_r80_20260710_143232/runs/gamma1p3_topk_adc_unaware
76.4423076923077,76.76282051282051,76.92307692307692,70,0.19508936554479575,power,11.146293640136719,0.03232382298235815,0.18436822295188904,0.007688784039103304,randk,randk,0.65,1.3,logs/experiments/exp5-adc-aware/adcaware_seed2026_r80_20260710_143232/runs/gamma1p3_randk
75.72115384615384,76.04166666666667,76.20192307692308,70,0.15728598510320355,power,11.092930793762207,0.03231151786556298,0.1844673603773117,0.009536768320555037,full,full,1.0,1.3,logs/experiments/exp5-adc-aware/adcaware_seed2026_r80_20260710_143232/runs/gamma1p3_full
81.25,80.76923076923077,81.25,80,0.4061116719404364,power,11.051654815673828,0.015166006269229725,0.10562561452388763,0.003693565350714218,topk_adc_aware,topk,0.15,1.5,logs/experiments/exp5-adc-aware/adcaware_seed2026_r80_20260710_143232/runs/gamma1p5_topk_adc_aware
77.64423076923077,78.28525641025641,78.60576923076923,70,0.26586249675316054,power,11.066374778747559,0.015143363309229652,0.10566625744104385,0.005642014267970971,topk_adc_unaware,topk,0.35,1.5,logs/experiments/exp5-adc-aware/adcaware_seed2026_r80_20260710_143232/runs/gamma1p5_topk_adc_unaware
