dataset,method,ratio,k,d,bar_omega,learning_cost,rho,omega_support,active_resource_ratio,u_active_mean,u_active_p99,papr_mean_db,papr_p99_db,papr_max_db,adc_cost,clip_sample_ratio,channel_cost,b_power,b_privacy,b_star,regime,learning_cost_norm,channel_cost_norm,adc_cost_norm,J_adc_aware,J_adc_unaware
femnist,topk,0.01,4042,404222,0.4621460174388824,7.745528501658716,0.16184373290971119,329425.5,0.0896884236453202,2.2207014560699463,10.375,9.065800309181213,11.036484479904175,11.711135029792786,0.011939715420307178,0.10255734249949455,2.93077065064684,31.458053093027868,11.121809018505765,11.121809018505765,privacy,1.0,0.0,0.0,1.0,1.0
femnist,topk,0.02,8084,404222,0.5593830755133022,4.0571497536994565,0.19469729029401808,759774.5,0.15573368226600984,2.557693988084793,11.375,9.136556148529053,10.8918936252594,11.301663279533386,0.01299465310512489,0.10368188191205263,20.35579116017598,22.24420266500645,7.864306576047127,7.864306576047127,privacy,0.7473925331383988,5.355383538530215e-05,0.06385628945874881,0.7793287109430811,0.7474005662137067
femnist,topk,0.05,20211,404222,0.7143325761223464,1.4395224492344023,0.26881222184896714,2468746.25,0.2914076354679803,3.417090892791748,14.0,9.461618304252625,11.970417022705078,12.626890659332275,0.014153989169226253,0.10455826669931412,238.08353136349731,14.068120986951595,4.9737011506534,4.9737011506534,privacy,0.4111906961469815,0.0007227154901039276,0.13403190300886614,0.47831505497493015,0.4112991034704971
femnist,topk,0.1,40422,404222,0.8375258892224264,0.5385189281736613,0.359046614141856,6323525.25,0.43030018472906406,4.628119587898254,16.0,10.886838793754578,14.504028797149658,14.88017463684082,0.015860825681413587,0.10440209414809942,1406.2416362170802,9.94766374842626,3.516937811222354,3.516937811222354,privacy,0.1985941697113537,0.004312917683388221,0.23734819168598262,0.31791520320685324,0.19924110736386194
femnist,topk,0.15,60633,404222,0.901782206374614,0.2652804967334875,0.4300084980647155,11120288.0,0.5225960591133005,5.716044187545776,17.125,12.615567207336426,16.2513769865036,16.6767680644989,0.018104049360459666,0.10358212701976299,3842.705203227648,8.122233438808728,2.8715676981984926,2.8715676981984926,privacy,0.10842096855033244,0.011801113678257437,0.3731324589762707,0.2967573650902064,0.11019113560207106
femnist,topk,0.2,80844,404222,0.9395860830390497,0.14513403105851044,0.4903784156100508,16681658.0,0.5914430418719212,6.734192192554474,18.0,14.072508931159973,17.40234875679016,17.83298110961914,0.020509308495139315,0.10270466469228268,7731.456880083471,7.034060493475797,2.4868505753267,2.4868505753267,privacy,0.062407875030120775,0.023752753393273304,0.5187248723840286,0.3253332242311261,0.06597078803911177
femnist,topk,0.25,101055,404222,0.9629193916942073,0.08294868279264693,0.543896881323094,22907229.75,0.6458306650246306,7.708813548088074,19.0,15.172428607940674,18.216683745384216,18.567688465118408,0.022770248702960818,0.10188608337193727,13191.28487702196,6.29145496850304,2.2243067745259855,2.2243067745259855,privacy,0.036658204382256844,0.040532918995959816,0.655581536467008,0.3705289104651548,0.042738142231650816
femnist,topk,0.35,141477,404222,0.986799021373889,0.027470989562726717,0.6376081959388601,37108160.0,0.729785406403941,9.550744533538818,20.0,16.470804691314697,19.117048263549805,19.452412366867065,0.026242556827836834,0.10074946004897356,29215.92783367906,5.31724993506321,1.8798823343120998,1.8798823343120998,privacy,0.012405970445085106,0.0897828519036282,0.8657633471114555,0.4587550717863571,0.025873398230629334
femnist,topk,0.5,202111,404222,0.9979739887268497,0.0040767342749964165,0.7552111541625511,62044083.0,0.8225806650246306,12.104626893997192,20.0,17.132354378700256,19.527960062026978,19.90735960006714,0.02846021314667761,0.10012207459658384,67206.49142705211,4.4487194660832605,1.5728185127150431,1.5728185127150431,privacy,0.0017840386870023128,0.2065425646260169,1.0,0.5327654233809048,0.032765423380904844
femnist,topk,0.65,262744,404222,0.999881791773607,0.0002365003084148466,0.8538098521354386,90501578.0,0.8926699507389162,14.50023353099823,20.0,17.067522406578064,19.435471057891846,19.827887773513794,0.028164345511588466,0.10022182948887348,123256.36474694542,3.901787310895915,1.3794538770179416,1.3794538770179416,privacy,1.680193324451572e-05,0.3788055291085601,0.982090876437889,0.547883069518473,0.05683763129952852
