dataset,method,ratio,k,rounds,final_accuracy,best_accuracy,tail_mean_accuracy,auc_mean_accuracy,best_round,round_to_target,target_accuracy,b_star,effective_noise_std,papr_p99_last,clip_energy_last,regime,run_dir
femnist,topk,0.5,202111,200,79.5673076923077,82.21153846153847,80.8557692307692,73.56850961538474,175,40,75.0,0.222435973304163,0.0067435135500701375,11.185179710388184,0.046384347861458994,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/topk_r500
femnist,topk,0.65,262744,200,79.08653846153847,80.76923076923077,79.59615384615385,72.78846153846148,135,45,75.0,0.19508936554479575,0.007688784039103304,11.190469741821289,0.04638342107580676,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/topk_r650
femnist,topk,0.8,323377,200,78.36538461538461,81.49038461538461,78.54807692307695,72.24278846153848,130,55,75.0,0.1758512404380767,0.008529936986869166,11.206268310546875,0.046375452437414616,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/topk_r800
femnist,topk,1.0,404222,200,75.72115384615384,80.28846153846153,77.07692307692308,71.37620192307696,115,65,75.0,0.15728598510320355,0.009536768320555037,11.1848783493042,0.046380388692668126,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/topk_r1000
femnist,randk,0.03,12126,200,37.98076923076923,38.22115384615385,37.80769230769233,28.445913461538467,180,,75.0,0.9081157710720591,0.0016517717760028774,11.168486595153809,0.04637989685655509,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/randk_r030
femnist,randk,0.05,20211,200,49.75961538461539,49.75961538461539,48.778846153846146,35.151442307692285,200,,75.0,0.7034060493475798,0.0021324809495044394,11.20438003540039,0.04636433650479474,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/randk_r050
femnist,randk,0.08,32337,200,59.85576923076923,59.85576923076923,59.01923076923076,42.64543269230766,200,,75.0,0.5560964679708955,0.002697373722715985,11.172879219055176,0.04636853557635195,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/randk_r080
femnist,randk,0.1,40422,200,63.94230769230769,63.94230769230769,63.230769230769226,46.34855769230773,200,,75.0,0.497383187421313,0.0030157834802913438,11.143885612487793,0.04637833478171221,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/randk_r100
femnist,randk,0.12,48506,200,67.0673076923077,67.0673076923077,66.27884615384617,50.5576923076924,200,,75.0,0.4540485245793218,0.0033036116599863244,11.15837287902832,0.046373456163358924,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/randk_r120
femnist,randk,0.15,60633,200,71.875,71.875,70.9423076923077,54.90024038461541,200,,75.0,0.4061116719404364,0.003693565350714218,11.16025161743164,0.04638200429771198,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/randk_r150
femnist,randk,0.18,72759,200,72.35576923076923,72.59615384615384,72.10576923076924,56.8269230769231,175,,75.0,0.3707290678942949,0.004046081437637604,11.105164527893066,0.04637708570055327,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/randk_r180
femnist,randk,0.2,80844,200,74.03846153846153,74.75961538461539,73.84615384615385,58.772836538461554,195,,75.0,0.3517030246737899,0.004264961899008575,11.140891075134277,0.046378617519856266,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/randk_r200
femnist,randk,0.25,101055,200,76.6826923076923,76.6826923076923,75.73076923076924,62.554086538461576,200,145,75.0,0.31457274842515204,0.004768372363814803,11.155210494995117,0.046367629935096695,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/randk_r250
femnist,randk,0.35,141477,200,78.60576923076923,78.84615384615384,78.06730769230771,65.16947115384616,190,125,75.0,0.26586249675316054,0.005642014267970971,11.161561965942383,0.046382904810126496,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/randk_r350
femnist,randk,0.5,202111,200,77.88461538461539,81.00961538461539,80.26923076923083,69.04927884615385,190,95,75.0,0.222435973304163,0.0067435135500701375,11.168818473815918,0.04636907188232042,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/randk_r500
femnist,randk,0.65,262744,200,79.5673076923077,82.21153846153847,80.39423076923079,70.79326923076933,170,65,75.0,0.19508936554479575,0.007688784039103304,11.183125495910645,0.046376833119723584,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/randk_r650
femnist,randk,0.8,323377,200,78.36538461538461,79.8076923076923,79.31730769230772,70.79687499999997,175,65,75.0,0.1758512404380767,0.008529936986869166,11.16263198852539,0.046373569472135404,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/randk_r800
femnist,randk,1.0,404222,200,76.20192307692308,80.28846153846153,77.15384615384615,71.28846153846155,125,65,75.0,0.15728598510320355,0.009536768320555037,11.166971206665039,0.04638052982763873,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/randk_r1000
femnist,full,1.0,404222,200,76.20192307692308,80.28846153846153,77.15384615384615,71.28846153846155,125,65,75.0,0.15728598510320355,0.009536768320555037,11.166971206665039,0.04638052982763873,power,logs/experiments/exp2.0-onlinesearch/peak_alignment/peak_alignment_seed2026_r200_20260711_212716/pmax2500_g1.2/runs/full_r1000
