dataset,method,round,ratio,k,d,train_loss,test_accuracy,test_loss,retained_energy,b_power,b_privacy,b_star,regime,papr_mean_db,papr_p99_db,papr_max_db,clip_sample_ratio,normalized_clip_energy,u_active_mean,active_resource_ratio
femnist,full,1,1.0,404222,404222,3.904452199935913,10.049019607843137,3.823184742647059,1.0,0.3145719702064071,0.5559437975250668,0.3145719702064071,power,9.607163429260254,11.154768943786621,11.799439430236816,0.0019390394445508718,0.00012825520732251866,20.0,0.9956206896551724
femnist,full,2,1.0,404222,404222,3.8601181745529174,13.970588235294118,3.7804068771063113,1.0,0.3145719702064071,0.5559437975250668,0.3145719702064071,power,9.534972190856934,10.911418914794922,11.170998573303223,0.0019741379655897617,0.00011821457640349965,20.0,0.9956206896551724
femnist,full,3,1.0,404222,404222,3.7167334699630734,16.91176470588235,3.667070276596967,1.0,0.3145719702064071,0.5559437975250668,0.3145719702064071,power,9.59669303894043,11.120391845703125,11.257367134094238,0.0019396551651880145,0.00012812804060901396,20.0,0.9956206896551724
femnist,full,4,1.0,404222,404222,3.651544044017792,13.970588235294118,3.61689728381587,1.0,0.3145719702064071,0.5559437975250668,0.3145719702064071,power,9.597914695739746,11.037271499633789,11.260583877563477,0.002014778321608901,0.0001299583364987979,20.0,0.9956206896551724
femnist,full,5,1.0,404222,404222,3.594918931722641,25.735294117647058,3.5459905886182597,1.0,0.3145719702064071,0.5559437975250668,0.3145719702064071,power,9.536333084106445,10.953253746032715,11.281523704528809,0.001852216781117022,0.00011773589427651246,20.0,0.9956206896551724
femnist,full,6,1.0,404222,404222,3.5322960007190702,22.794117647058822,3.4763500737208948,1.0,0.3145719702064071,0.5559437975250668,0.3145719702064071,power,9.540801048278809,11.273921966552734,11.65185546875,0.0019156404305249453,0.00011754633190829279,20.0,0.9956206896551724
femnist,full,7,1.0,404222,404222,3.456566364765167,25.0,3.4307855344286153,1.0,0.3145719702064071,0.5559437975250668,0.3145719702064071,power,9.59082317352295,11.286787986755371,11.916007041931152,0.0019562807865440845,0.0001358714228576561,20.0,0.9956206896551724
femnist,full,8,1.0,404222,404222,3.4579702448844905,27.45098039215686,3.3906719731349573,1.0,0.3145719702064071,0.5559437975250668,0.3145719702064071,power,9.632116317749023,11.206608772277832,11.874995231628418,0.001926724100485444,0.00013259588571859948,20.0,0.9956206896551724
femnist,full,9,1.0,404222,404222,3.457216633558273,33.333333333333336,3.3157647824754903,1.0,0.3145719702064071,0.5559437975250668,0.3145719702064071,power,9.606735229492188,11.561415672302246,11.766587257385254,0.0019248768221586943,0.00012698902878644685,20.0,0.9956206896551724
femnist,full,10,1.0,404222,404222,3.272670476436615,35.294117647058826,3.193227730545343,1.0,0.3145719702064071,0.5559437975250668,0.3145719702064071,power,9.553776741027832,11.361509323120117,11.806384086608887,0.0018793103517964482,0.00012210011617050942,20.0,0.9956206896551724
